orig_index,timestamp,UTC time,accuracy,x,y,z
20586,1565109930787,2019-08-06T16:45:30.787,unknown,-0.0064849853515625,-0.934860229492188,-0.0690460205078125
20587,1565109930887,2019-08-06T16:45:30.887,unknown,-0.06646728515625,-1.01544189453125,0.0895538330078125
20588,1565109930987,2019-08-06T16:45:30.987,unknown,-0.043487548828125,-1.02125549316406,0.178466796875
20589,1565109931087,2019-08-06T16:45:31.087,unknown,-0.053802490234375,-0.987701416015625,0.0689849853515625
20590,1565109931188,2019-08-06T16:45:31.188,unknown,-0.0540313720703125,-1.00361633300781,0.126449584960938
20591,1565109931288,2019-08-06T16:45:31.288,unknown,-0.0108795166015625,-0.967575073242188,0.1708984375
20592,1565109931388,2019-08-06T16:45:31.388,unknown,0.0528411865234375,-0.982330322265625,0.235565185546875
20593,1565109931488,2019-08-06T16:45:31.488,unknown,0.0329742431640625,-1.05320739746094,0.2567138671875
20594,1565109931589,2019-08-06T16:45:31.589,unknown,-0.090423583984375,-0.972793579101562,0.356307983398438
20595,1565109931689,2019-08-06T16:45:31.689,unknown,0.124267578125,-0.890533447265625,0.223220825195313
20596,1565109931789,2019-08-06T16:45:31.789,unknown,-0.0317840576171875,-0.89398193359375,0.264236450195313
20597,1565109931889,2019-08-06T16:45:31.889,unknown,-0.0974273681640625,-0.902725219726562,0.137680053710938
20598,1565109931989,2019-08-06T16:45:31.989,unknown,-0.0948638916015625,-1.1978759765625,0.128494262695313
20599,1565109932090,2019-08-06T16:45:32.090,unknown,0.0137176513671875,-0.852371215820313,-0.0008697509765625
20600,1565109932190,2019-08-06T16:45:32.190,unknown,0.0679473876953125,-0.988525390625,0.03497314453125
20601,1565109932290,2019-08-06T16:45:32.290,unknown,-0.04925537109375,-1.03108215332031,0.008941650390625
20602,1565109932390,2019-08-06T16:45:32.390,unknown,0.109710693359375,-0.992324829101562,-0.0905609130859375
20603,1565109932491,2019-08-06T16:45:32.491,unknown,0.0847930908203125,-1.00128173828125,-0.0775146484375
20604,1565109932591,2019-08-06T16:45:32.591,unknown,0.11029052734375,-1.01002502441406,-0.080535888671875
20605,1565109932691,2019-08-06T16:45:32.691,unknown,0.0759735107421875,-0.990737915039062,-0.072174072265625
20606,1565109932791,2019-08-06T16:45:32.791,unknown,0.0556182861328125,-0.9940185546875,-0.0782928466796875
20607,1565109932892,2019-08-06T16:45:32.892,unknown,0.102279663085938,-0.994796752929688,-0.0380401611328125
20608,1565109932992,2019-08-06T16:45:32.992,unknown,0.104598999023438,-1.00767517089844,-0.040252685546875
20609,1565109933092,2019-08-06T16:45:33.092,unknown,0.145584106445313,-1.00784301757813,-0.0368194580078125
20610,1565109933192,2019-08-06T16:45:33.192,unknown,0.148284912109375,-1.01075744628906,-0.0030364990234375
20611,1565109933292,2019-08-06T16:45:33.292,unknown,0.119674682617188,-1.00584411621094,-0.007110595703125
20612,1565109933393,2019-08-06T16:45:33.393,unknown,-0.046356201171875,-1.05068969726563,-0.0614166259765625
20613,1565109933493,2019-08-06T16:45:33.493,unknown,0.046783447265625,-1.01611328125,-0.024169921875
20614,1565109933593,2019-08-06T16:45:33.593,unknown,-0.0003204345703125,-1.00663757324219,0.100601196289063
20615,1565109933693,2019-08-06T16:45:33.693,unknown,-0.030792236328125,-1.09219360351563,0.193161010742188
20616,1565109933794,2019-08-06T16:45:33.794,unknown,-0.116592407226563,-0.93243408203125,0.182113647460938
20617,1565109933894,2019-08-06T16:45:33.894,unknown,-0.0353546142578125,-0.860015869140625,0.234420776367188
20618,1565109933994,2019-08-06T16:45:33.994,unknown,-0.0438690185546875,-0.867630004882813,0.1640625
20619,1565109934094,2019-08-06T16:45:34.094,unknown,-0.0993804931640625,-1.20968627929688,0.304489135742188
20620,1565109934194,2019-08-06T16:45:34.194,unknown,0.12249755859375,-0.885482788085938,0.123443603515625
20621,1565109934295,2019-08-06T16:45:34.295,unknown,0.17840576171875,-1.07548522949219,0.158126831054688
20622,1565109934395,2019-08-06T16:45:34.395,unknown,-0.077911376953125,-0.998260498046875,0.174636840820313
20623,1565109934495,2019-08-06T16:45:34.495,unknown,-0.049652099609375,-0.998153686523438,0.1015625
20624,1565109934595,2019-08-06T16:45:34.595,unknown,0.038330078125,-1.0069580078125,0.074951171875
20625,1565109934696,2019-08-06T16:45:34.696,unknown,0.0125732421875,-1.00645446777344,0.0344390869140625
20626,1565109934796,2019-08-06T16:45:34.796,unknown,0.0244140625,-1.00895690917969,0.0341949462890625
20627,1565109934896,2019-08-06T16:45:34.896,unknown,0.05078125,-0.987045288085938,-0.0352935791015625
20628,1565109934996,2019-08-06T16:45:34.996,unknown,0.0114288330078125,-1.01254272460938,-0.0406646728515625
20629,1565109935097,2019-08-06T16:45:35.097,unknown,0.082794189453125,-1.00143432617188,-0.0253753662109375
20630,1565109935197,2019-08-06T16:45:35.197,unknown,0.0572967529296875,-1.00068664550781,-0.045623779296875
20631,1565109935297,2019-08-06T16:45:35.297,unknown,0.103775024414063,-0.991683959960938,-0.086334228515625
20632,1565109935397,2019-08-06T16:45:35.397,unknown,0.039093017578125,-1.02278137207031,-0.0930633544921875
20633,1565109935497,2019-08-06T16:45:35.497,unknown,0.068359375,-1.00173950195313,-0.087493896484375
20634,1565109935598,2019-08-06T16:45:35.598,unknown,0.0657501220703125,-1.00123596191406,-0.07275390625
20635,1565109935698,2019-08-06T16:45:35.698,unknown,0.05401611328125,-1.0035400390625,-0.0740814208984375
20636,1565109935798,2019-08-06T16:45:35.798,unknown,0.0303192138671875,-1.00704956054688,-0.06787109375
20637,1565109935898,2019-08-06T16:45:35.898,unknown,0.0526123046875,-1.00857543945313,-0.0086212158203125
20638,1565109935999,2019-08-06T16:45:35.999,unknown,0.079437255859375,-1.0037841796875,-0.0029449462890625
20639,1565109936099,2019-08-06T16:45:36.099,unknown,0.0375823974609375,-0.998382568359375,0.0193328857421875
